Codice;Nome pozzo;Anno;Scopo;Esito;Prof;Tipo titolo;Nome titolo ;Operatore;Provincia/ Zona;Terra/ Mare;Latitudine;Longitudine;Profilo;Disp;Pdf
7452;CORNEGLIANO B 005 DIR;2017;T;GA;1424;S;CORNEGLIANO STOCCAGGIO;ITAL GAS STORAGE;MI;T;45°17'12,86'';02°58'15,98'' W;0;No;No
7453;CORNEGLIANO B 006 DIR;2017;T;GA;1464;S;CORNEGLIANO STOCCAGGIO;ITAL GAS STORAGE;MI;T;45°17'13,12'';02°58'16,04'' W;0;No;No
7454;CORTEMAGGIORE 109 DIR A;2017;T;GA;1568;S;CORTEMAGGIORE STOCCAGGIO;STOGIT;PC;T;44°59'53,89'';02°29'12,22'' W;0;No;No
7455;CORTEMAGGIORE 112 DIR A;2017;T;GA;1573;S;CORTEMAGGIORE STOCCAGGIO;STOGIT;PC;T;44°59'54,82'';02°29'14,96'' W;0;No;No
7457;MOIRAGO 001 DIR;2017;E;NP;4406;R;BADILE;APENNINE ENERGY;PZ;T;45°21'47,11'';03°19'33,37'' W;0;No;No
7456;MONTE ALPI 007 OR A;2017;S;OG;2921;M;VAL D'AGRI;ENI;PZ;T;40°18'17,50'';03°28'53,70'' E;3512;No;No
7433;MONTE ENOC 005 OR C;2017;S;OL;3052;M;VAL D'AGRI;ENI;PZ;T;40°18'14,20'';32°28'45,64'' E;3950;No;No
7458;SAN POTITO A 002 DIR;2017;T;GA;1914;S;SAN POTITO E COTIGNOLA STOCCAGGIO;EDISON STOCCAGGIO;RA;T;44°25'10,34'';00°30'19,79'' W;0;No;No
7459;TRAVA 002 DIR;2017;E;GA;1071;R;CORTE DEI SIGNORI;ALEANNA RESOURCES;FE;T;44°41'08,30'';00°25'59,90'' W;0;No;No
7429;BARBARA C 015 DIR B;2016;S;GA;1463;M;A.C 7.AS;ENI;ZA;M;44°04'10,77'';13°46'48,49'';3946;No;No
7432;BARBARA C 025 DIR A;2016;S;GA;1293;M;A.C 7.AS;ENI;ZA;M;44°04'04,63'';13°47'03,68'';3949;No;No
7414;BONACCIA NW 002 DIR;2016;S;GA;1240;M;B.C 17.TO;ENI;ZB;M;43°35'47,48'';14°20'42,30'';3939;No;No
7439;BORDOLANO 001 DIR A;2016;M;NP;1860;S;BORDOLANO STOCCAGGIO;STOGIT;CR;T;45°17'27,63'';02°28'45,18'' W;0;No;No
7418;CERVIA 023 DIR A;2016;S;GA;4391;M;A.C 4.AS;ENI;ZA;M;44°18'09,86'';12°38'03,25'';3943;No;No
7440;CORNEGLIANO A 001;2016;T;GA;1450;S;CORNEGLIANO STOCCAGGIO;ITAL GAS STORAGE;MI;T;45°17'13,33'';02°59'18,18'' W;0;No;No
7441;CORNEGLIANO B 001;2016;T;GA;1459;S;CORNEGLIANO STOCCAGGIO;ITAL GAS STORAGE;MI;T;45°17'11,84'';02°58'15,73'' W;0;No;No
7442;CORNEGLIANO B 002 DIR;2016;T;NP;898;S;CORNEGLIANO STOCCAGGIO;ITAL GAS STORAGE;MI;T;45°17'12,10'';02°58'15,79'' W;0;No;No
7443;CORNEGLIANO B 004 DIR;2016;T;MG;1800;S;CORNEGLIANO STOCCAGGIO;ITAL GAS STORAGE;MI;T;45°17'12,61'';02°58'15,92'' W;0;No;No
7444;CORNEGLIANO B 007 DIR;2016;T;NP;864;S;CORNEGLIANO STOCCAGGIO;ITAL GAS STORAGE;MI;T;45°17'13,37'';02°58'16,11'' W;0;No;No
7417;MORENA 001 DIR A;2016;S;GA;1988;M;A.C 28.EA;ENI;ZA;M;44°14'00,96'';12°28'47,37'';3942;No;No
7428;PERGOLA 001;2016;E;OL;3781;M;VAL D'AGRI;ENI;PZ;T;40°26'29,69'';03°15'00,20'' E;0;No;No
7398;ANEMONE 012 DIR B;2015;S;GA;3105;M;A.C 8.ME;ENI;ZA;M;44°12'59,76'';12°41'58,92'';3922;No;No
7407;ANNALISA 004 DIR A;2015;S;GA;3520;M;A.C 32.AG;ENI;ZA;M;44°10'13,19'';13°06'49,42'';3930;No;No
